Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,Type,Unidirectional Channels,Voltage - Reverse Standoff (Typ),Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Current - Peak Pulse (10/1000µs),Power - Peak Pulse,Power Line Protection,Applications,Capacitance @ Frequency,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package,Bidirectional Channels,Grade,Qualification,URL
https://www.infineon.com/dgdl/Infineon-ESD108-B1-CSP0201-DS-v01_00-EN.pdf?fileId=5546d4624b0b249c014b1746e4d05aa8,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6348/448%7EPPG-WLL-2-1%7E%7E2.jpg,"ESD108B1CSP0201XTSA1TR-ND,ESD108B1CSP0201XTSA1CT-ND,ESD108B1CSP0201XTSA1DKR-ND",ESD108B1CSP0201XTSA1,Infineon Technologies,Infineon Technologies,TVS DIODE 5.5VWM 41VC WLL-2-1,"392,197",0.22,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,5.5V (Max),9.5V (Typ),41V,3A (8/20µs),27.5W,No,HDMI,0.28pF @ 1MHz,-40°C ~ 125°C (TA),Surface Mount,0201 (0603 Metric),WLL-2-1,1,-,-,https://www.digikey.com/en/products/detail/infineon-technologies/ESD108B1CSP0201XTSA1/5413670
https://datasheets.kyocera-avx.com/AVX-GiGuard.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4243/giguard_750sq.jpg,"478-GG0603052R542PTR-ND,478-GG0603052R542PCT-ND,478-GG0603052R542PDKR-ND",GG0603052R542P,KYOCERA AVX,KYOCERA AVX,TVS DIODE 5VWM 16VC 0603,"292,364",0.22,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",GiGUARD,Active,Zener,-,5V,6.7V,16V,3A,45W,No,"Ethernet, HDMI, USB",-,-55°C ~ 125°C (TA),Surface Mount,0603 (1608 Metric),603,1,-,-,https://www.digikey.com/en/products/detail/kyocera-avx/GG0603052R542P/14552136
https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/488%7E514AB-01%7E%7E2.jpg,"ESD9B3.3ST5GOSTR-ND,ESD9B3.3ST5GOSCT-ND,ESD9B3.3ST5GOSDKR-ND",ESD9B3.3ST5G,onsemi,onsemi,TVS DIODE 3.3VWM 11.5VC SOD923,"49,044",0.22,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,3.3V (Max),5V,11.5V,2A (8/20µs),-,No,General Purpose,15pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,SOD-923,SOD-923,1,-,-,https://www.digikey.com/en/products/detail/onsemi/ESD9B3-3ST5G/1973669
https://www.diodes.com/assets/Datasheets/DESD5V0U1BL.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5753/31%7EX2-DFN1006-2%7E%7E2-View-2.jpg,"31-DESD5V0U1BL-7BTR-ND,31-DESD5V0U1BL-7BCT-ND,31-DESD5V0U1BL-7BDKR-ND",DESD5V0U1BL-7B,Diodes Incorporated,Diodes Incorporated,TVS DIODE 5VWM 7.2V X1DFN10062,"39,160",0.24,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,5V (Max),5.5V,7.2V (Typ),3A (8/20µs),-,No,General Purpose,2.9pF @ 1MHz,-65°C ~ 150°C (TJ),Surface Mount,0402 (1006 Metric),X1-DFN1006-2,1,-,-,https://www.digikey.com/en/products/detail/diodes-incorporated/DESD5V0U1BL-7B/5306127
https://www.onsemi.com/pdf/datasheet/mmbz15vdlt1-d.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/488_SOT-23-3%2CTO-236-3%2CMicro3%2CSSD3%2CSST3.jpg,"SZMMBZ27VCLT1GOSTR-ND,SZMMBZ27VCLT1GOSCT-ND,SZMMBZ27VCLT1GOSDKR-ND",SZMMBZ27VCLT1G,onsemi,onsemi,TVS DIODE 22VWM 38VC SOT233,"23,246",0.24,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,2,22V,25.65V,38V,1A,40W,No,-,-,-55°C ~ 150°C (TJ),Surface Mount,"TO-236-3, SC-59, SOT-23-3",SOT-23-3 (TO-236),-,Automotive,AEC-Q101,https://www.digikey.com/en/products/detail/onsemi/SZMMBZ27VCLT1G/3063209
https://assets.nexperia.com/documents/data-sheet/PESD3V3X4UHC.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6447/1727%7ESOT8006%7E%7E6.jpg,"1727-8587-2-ND,1727-8587-1-ND,1727-8587-6-ND",PESD3V3X4UHCYL,Nexperia USA Inc.,Nexperia USA Inc.,TVS DIODE 3.3VWM 4.5VC DFN1308-6,"12,415",0.24,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,4,3.3V (Max),5V,4.5V,11A (8/20µs),-,No,Telecom,0.8pF @ 1MHz,-55°C ~ 150°C (TA),Surface Mount,6-XFDFN,DFN1308-6,-,-,-,https://www.digikey.com/en/products/detail/nexperia-usa-inc/PESD3V3X4UHCYL/10260975
https://www.diodes.com/assets/Datasheets/D5V0M1U2S9.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/31_SOD-923.jpg,"D5V0M1U2S9-7DITR-ND,D5V0M1U2S9-7DICT-ND,D5V0M1U2S9-7DIDKR-ND",D5V0M1U2S9-7,Diodes Incorporated,Diodes Incorporated,TVS DIODE 5.5VWM 12VC SOD923,"218,801",0.25,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,1,5.5V (Max),6.2V,12V,9A (8/20µs),108W,No,General Purpose,54pF @ 1MHz,-65°C ~ 150°C (TJ),Surface Mount,SOD-923,SOD-923,-,-,-,https://www.digikey.com/en/products/detail/diodes-incorporated/D5V0M1U2S9-7/5371895
https://www.diodes.com/assets/Datasheets/D5V0L1B2WS.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5741/31%7ESOD323%7E%7E2.jpg,"D5V0L1B2WS-7DITR-ND,D5V0L1B2WS-7DICT-ND,D5V0L1B2WS-7DIDKR-ND",D5V0L1B2WS-7,Diodes Incorporated,Diodes Incorporated,TVS DIODE 5VWM 14VC SOD323,"534,424",0.26,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,5V (Max),6V,14V,6A (8/20µs),84W,No,General Purpose,15pF @ 1MHz,-65°C ~ 150°C (TJ),Surface Mount,"SC-76, SOD-323",SOD-323,1,-,-,https://www.digikey.com/en/products/detail/diodes-incorporated/D5V0L1B2WS-7/2918767
https://www.mccsemi.com/pdf/Products/ESD3V3D5_ESD12VD5(SOD-523).pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6153/353%7ESOD523%7E%7E2.jpg,"ESD12VD5-TPMSTR-ND,ESD12VD5-TPMSCT-ND,ESD12VD5-TPMSDKR-ND",ESD12VD5-TP,MCC (Micro Commercial Components),MCC (Micro Commercial Components),TVS DIODE 12VWM 25VC SOD523,"348,650",0.26,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,1,12V (Max),14.1V,25V,9.6A (8/20µs),240W,No,General Purpose,55pF @ 1MHz,-55°C ~ 150°C (TJ),Surface Mount,"SC-79, SOD-523",SOD-523,-,-,-,https://www.digikey.com/en/products/detail/mcc-micro-commercial-components/ESD12VD5-TP/1776997
https://www.diodes.com/assets/Datasheets/D5V0L1B2S9.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4849/31_SOD-923.jpg,"D5V0L1B2S9-7DITR-ND,D5V0L1B2S9-7DICT-ND,D5V0L1B2S9-7DIDKR-ND",D5V0L1B2S9-7,Diodes Incorporated,Diodes Incorporated,TVS DIODE 5VWM 14VC SOD923,"179,206",0.26,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Zener,-,5V (Max),6V,14V,6A (8/20µs),84W,No,General Purpose,15pF @ 1MHz,-65°C ~ 150°C (TJ),Surface Mount,SOD-923,SOD-923,1,-,-,https://www.digikey.com/en/products/detail/diodes-incorporated/D5V0L1B2S9-7/4810930
