Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Bidirectional Channels","Voltage - Reverse Standoff (Typ)","Voltage - Breakdown (Min)","Voltage - Clamping (Max) @ Ipp","Current - Peak Pulse (10/1000µs)","Power - Peak Pulse","Power Line Protection","Applications","Capacitance @ Frequency","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","Unidirectional Channels","Grade","Qualification","URL"
"https://www.onsemi.com/pdf/datasheet/nup4114-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5047/488%7E318G-02%7ESN%2CDT%7E6.jpg","NUP4114HMR6T1GOSTR-ND,NUP4114HMR6T1GOSCT-ND,NUP4114HMR6T1GOSDKR-ND","NUP4114HMR6T1G","onsemi","onsemi","TVS DIODE 5.5VWM 10VC 6TSOP","41,813","0.26","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Steering (Rail to Rail)","-","5.5V (Max)","5.5V","10V","8A (8/20µs)","-","Yes","Ethernet, HDMI","0.6pF @ 1MHz","-40°C ~ 125°C (TJ)","Surface Mount","SOT-23-6 Thin, TSOT-23-6","6-TSOP","4","-","-","https://www.digikey.com/en/products/detail/onsemi/NUP4114HMR6T1G/1961292"
"https://www.onsemi.com/pdf/datasheet/smf05c-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E419B-02%7EDF%2CDW%2CSQ%7E6.jpg","SMF05CT2GOSTR-ND,SMF05CT2GOSCT-ND,SMF05CT2GOSDKR-ND","SMF05CT2G","onsemi","onsemi","TVS DIODE 5VWM 12.5VC SC88","26,686","0.26","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","5V (Max)","6.2V","12.5V","8A (8/20µs)","100W","No","General Purpose","80pF @ 1MHz","-40°C ~ 125°C (TJ)","Surface Mount","6-TSSOP, SC-88, SOT-363","SC-88/SC70-6/SOT-363","5","-","-","https://www.digikey.com/en/products/detail/onsemi/SMF05CT2G/1485287"
"https://www.onsemi.com/download/data-sheet/pdf/esd8472-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5881/488%7E152AF%7E%7E2.jpg","ESD8472MUT5GOSTR-ND,ESD8472MUT5GOSCT-ND,ESD8472MUT5GOSDKR-ND","ESD8472MUT5G","onsemi","onsemi","TVS DIODE 5.3VWM 14VC 2X3DFN","249,681","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","1","5.3V (Max)","7V","14V","3A (8/20µs)","-","No","RF Antenna","0.2pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","0201 (0603 Metric)","2-X3DFN (0.6x0.3) (0201)","-","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD8472MUT5G/5257582"
"https://www.onsemi.com/pdf/datasheet/sms05t1-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6020/488%7E318F-05%7E%7E6.jpg","SMS12T1GOSTR-ND,SMS12T1GOSCT-ND,SMS12T1GOSDKR-ND","SMS12T1G","onsemi","onsemi","TVS DIODE 12VWM 23VC SC74","85,581","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","12V","13.3V","23V","15A (8/20µs)","350W","No","General Purpose","80pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SC-74, SOT-457","SC-74","4","-","-","https://www.digikey.com/en/products/detail/onsemi/SMS12T1G/754711"
"https://www.onsemi.com/pdf/datasheet/nsp4201mr6-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5047/488%7E318G-02%7ESN%2CDT%7E6.jpg","NSP4201MR6T1GOSTR-ND,NSP4201MR6T1GOSCT-ND,NSP4201MR6T1GOSDKR-ND","NSP4201MR6T1G","onsemi","onsemi","TVS DIODE 5VWM 12VC 6TSOP","4,745","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Steering (Rail to Rail)","-","5V (Max)","6V","12V","-","-","No","USB","3pF @ 1MHz","-40°C ~ 125°C (TJ)","Surface Mount","SOT-23-6 Thin, TSOT-23-6","6-TSOP","4","Automotive","AEC-Q101","https://www.digikey.com/en/products/detail/onsemi/NSP4201MR6T1G/7556408"
"https://www.onsemi.com/pdf/datasheet/esd9101-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6296/488%7E514AB-01%7E%7E2.jpg","SZESD9101P2T5GOSTR-ND,SZESD9101P2T5GOSCT-ND,SZESD9101P2T5GOSDKR-ND","SZESD9101P2T5G","onsemi","onsemi","TVS DIODE 5VWM 7VC SOD923","70,385","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","5V (Max)","5.3V","7V (Typ)","16A","-","No","-","0.36pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOD-923","SOD-923","1","Automotive","AEC-Q101","https://www.digikey.com/en/products/detail/onsemi/SZESD9101P2T5G/7066745"
"https://www.onsemi.com/pdf/datasheet/sm05t1-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E318-08%7EET%2CL%2CLT%2CSF%2CSN%7E3.jpg","SM05T1GOSTR-ND,SM05T1GOSCT-ND,SM05T1GOSDKR-ND","SM05T1G","onsemi","onsemi","TVS DIODE 5VWM 9.8VC SOT233","33,739","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","5V","6.2V","9.8V","17A (8/20µs)","300W","No","General Purpose","-","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)","2","-","-","https://www.digikey.com/en/products/detail/onsemi/SM05T1G/920305"
"https://www.onsemi.com/pdf/datasheet/esd7004-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6349/488%7E517BB-01%7E%7E10.jpg","ESD7004MUTAGOSTR-ND,ESD7004MUTAGOSCT-ND,ESD7004MUTAGOSDKR-ND","ESD7004MUTAG","onsemi","onsemi","TVS DIODE 5VWM 10VC 10UDFN","30,548","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","-","5V","5.5V","10V","1A (8/20µs)","-","No","HDMI, USB","0.4pF @ 1MHz","-55°C ~ 125°C (TJ)","Surface Mount","10-UFDFN","10-UDFN (2.5x1)","4","-","-","https://www.digikey.com/en/products/detail/onsemi/ESD7004MUTAG/2683772"
"https://www.onsemi.com/pdf/datasheet/esd7410-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6310/488%7E714AB%7E%7E2.jpg","SZESD7410N2T5GOSTR-ND,SZESD7410N2T5GOSCT-ND,SZESD7410N2T5GOSDKR-ND","SZESD7410N2T5G","onsemi","onsemi","TVS DIODE 8VWM 20VC 2X2DFN","23,270","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Zener","1","8V (Max)","10V","20V (Typ)","16A","-","No","-","0.4pF @ 1MHz","-55°C ~ 150°C (TJ)","Surface Mount","2-XDFN","2-X2DFN (1x0.6)","-","Automotive","AEC-Q101","https://www.digikey.com/en/products/detail/onsemi/SZESD7410N2T5G/6684819"
"https://www.onsemi.com/pdf/datasheet/mmqa-d.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6020/488%7E318F-05%7E%7E6.jpg","MMQA5V6T1GOSTR-ND,MMQA5V6T1GOSCT-ND,MMQA5V6T1GOSDKR-ND","MMQA5V6T1G","onsemi","onsemi","TVS DIODE 3VWM 8VC SC74","5,877","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MMQA","Active","Zener","-","3V (Max)","5.32V","8V","3A (8/20µs)","150W","No","General Purpose","-","-55°C ~ 150°C (TJ)","Surface Mount","SC-74, SOT-457","SC-74","4","-","-","https://www.digikey.com/en/products/detail/onsemi/MMQA5V6T1G/919702"
